#       # k              E            BS weight       TS weight
      0.4095596     -2.7876157       0.0084537       0.0021343
      0.4300376     -2.7880733       0.0074909       0.0020130
      0.4505155     -2.7884147       0.0065289       0.0018654
      0.4709935     -2.7886474       0.0056895       0.0017209
      0.4914715     -2.7887810       0.0051073       0.0016139
      0.5119495     -2.7888244       0.0048974       0.0015741
      0.5119495     -2.7888244       0.0048974       0.0015741
      0.5370086     -2.7888848       0.0057833       0.0017975
      0.5620676     -2.7890363       0.0080426       0.0023909
      0.5871267     -2.7892202       0.0110123       0.0032298
      0.6121858     -2.7893925       0.0142215       0.0042172
      0.6372448     -2.7895284       0.0173920       0.0052780
      0.6623039     -2.7896148       0.0203738       0.0063550
      0.6873630     -2.7896446       0.0230962       0.0074065
      0.7124221     -2.7896146       0.0255352       0.0084041
      0.7374811     -2.7895243       0.0276928       0.0093303
      0.7625402     -2.7893753       0.0295850       0.0101756
      0.7875993     -2.7891708       0.0312340       0.0109368
      0.8126583     -2.7889161       0.0326648       0.0116150
      0.8377174     -2.7886175       0.0339027       0.0122143
      0.8627765     -2.7882830       0.0349718       0.0127403
      0.8878356     -2.7879219       0.0358950       0.0131997
      0.9128946     -2.7875445       0.0366927       0.0135995
      0.9379537     -2.7871619       0.0373824       0.0139460
      0.9630128     -2.7867859       0.0379784       0.0142450
      0.9880718     -2.7864285       0.0384913       0.0145010
      1.0131309     -2.7861016       0.0389273       0.0147171
      1.0381900     -2.7858164       0.0392890       0.0148947
      1.0632491     -2.7855829       0.0395757       0.0150343
      1.0883081     -2.7854096       0.0397844       0.0151352
      1.1133672     -2.7853030       0.0399116       0.0151963
      1.1384263     -2.7852670       0.0399543       0.0152168
      1.1384263     -2.7852670       0.0399543       0.0152168
      1.1589042     -2.7852046       0.0400296       0.0151665
      1.1793822     -2.7850186       0.0402543       0.0150184
      1.1998602     -2.7847121       0.0406255       0.0147803
      1.2203382     -2.7842907       0.0411385       0.0144641
      1.2408162     -2.7837618       0.0417869       0.0140849
      1.2612941     -2.7831347       0.0425633       0.0136595
      1.2817721     -2.7824204       0.0434604       0.0132053
      1.3022501     -2.7816314       0.0444717       0.0127392
      1.3227281     -2.7807813       0.0455920       0.0122765
      1.3432061     -2.7798848       0.0468181       0.0118307
      1.3636840     -2.7789568       0.0481477       0.0114130
      1.3841620     -2.7780129       0.0495785       0.0110316
      1.4046400     -2.7770683       0.0511061       0.0106924
      1.4251180     -2.7761381       0.0527216       0.0103983
      1.4455960     -2.7752371       0.0544094       0.0101501
      1.4660739     -2.7743788       0.0561453       0.0099465
      1.4865519     -2.7735761       0.0578962       0.0097844
      1.5070299     -2.7728407       0.0596199       0.0096594
      1.5275079     -2.7721828       0.0612671       0.0095665
