# Omega(k)/|Omega(k)|, Omega(k) comes from the 4,5,6 columns of Berrycurvature.dat.
#col     1           2           3           4           5           6
  # kx (1/A)    ky (1/A)    kz (1/A)     Omega_x     Omega_y     Omega_z
   -0.266542    0.187147   -0.116718   -0.000011   -0.000024   -0.000018
   -0.266542    0.192494   -0.116718   -0.000010   -0.000005   -0.000015
   -0.266542    0.197841   -0.116718   -0.000007    0.000019   -0.000013
   -0.266542    0.203188   -0.116718    0.000001    0.000066   -0.000010
   -0.266542    0.208535   -0.116718    0.285244    0.955989    0.068703
   -0.266542    0.213882   -0.116718    0.828862    0.407398    0.383424
   -0.266542    0.219229   -0.116718    0.371578    0.923066    0.099392
   -0.266542    0.224576   -0.116718   -0.468951    0.309564   -0.827197
   -0.266542    0.229923   -0.116718    0.365561    0.714220    0.596871
   -0.266542    0.235270   -0.116718   -0.287184    0.033975    0.957273
   -0.266542    0.240617   -0.116718    0.508022   -0.840535    0.188189
   -0.266542    0.245964   -0.116718    0.404159   -0.910623    0.086145
   -0.266542    0.251311   -0.116718    0.426305   -0.897401    0.113732
   -0.266542    0.256659   -0.116718    0.462461   -0.869739    0.172289
   -0.266542    0.262006   -0.116718    0.532350   -0.780910    0.326776
   -0.266542    0.267353   -0.116718    0.421121   -0.905154   -0.057919
   -0.266542    0.272700   -0.116718    0.495694   -0.862810    0.099227
   -0.266542    0.278047   -0.116718    0.521017   -0.844877    0.121341
   -0.266542    0.283394   -0.116718    0.534245   -0.836964    0.118628
   -0.266542    0.288741   -0.116718    0.541780   -0.833424    0.108995
   -0.266542    0.294088   -0.116718    0.546553   -0.832203    0.093374
   -0.266542    0.299435   -0.116718    0.549783   -0.832001    0.074244
   -0.266542    0.304782   -0.116718    0.553104   -0.830986    0.059480
   -0.266542    0.310129   -0.116718    0.557389   -0.828705    0.050648
   -0.266542    0.315476   -0.116718    0.562552   -0.825505    0.045578
   -0.266542    0.320823   -0.116718    0.568295   -0.821729    0.042446
   -0.266542    0.326170   -0.116718    0.574375   -0.817604    0.040212
   -0.266542    0.331517   -0.116718    0.967376    0.000000    0.253344
  
   -0.262173   -0.331517   -0.114804    0.960944    0.000000    0.276742
   -0.262173   -0.326170   -0.114804   -0.609638    0.788199   -0.084167
   -0.262173   -0.320823   -0.114804   -0.619021    0.780887   -0.083832
   -0.262173   -0.315476   -0.114804   -0.627683    0.773822   -0.084931
   -0.262173   -0.310129   -0.114804   -0.635146    0.767290   -0.088627
   -0.262173   -0.304782   -0.114804   -0.640722    0.761606   -0.097111
   -0.262173   -0.299435   -0.114804   -0.643567    0.757044   -0.112717
   -0.262173   -0.294088   -0.114804   -0.643245    0.753995   -0.133145
   -0.262173   -0.288741   -0.114804   -0.639751    0.753490   -0.151564
   -0.262173   -0.283394   -0.114804   -0.631629    0.755755   -0.172858
   -0.262173   -0.278047   -0.114804   -0.617973    0.757696   -0.209777
   -0.262173   -0.272700   -0.114804   -0.603081    0.747775   -0.277716
   -0.262173   -0.267353   -0.114804   -0.600356    0.631961   -0.490101
   -0.262173   -0.262006   -0.114804   -0.246998    0.900773    0.357211
   -0.262173   -0.256659   -0.114804   -0.425139    0.903992    0.045327
   -0.262173   -0.251311   -0.114804   -0.425798    0.904569    0.021238
   -0.262173   -0.245964   -0.114804   -0.389007    0.919759    0.052129
   -0.262173   -0.240617   -0.114804    0.018518    0.998333   -0.054673
   -0.262173   -0.235270   -0.114804   -0.000016   -0.000012   -0.000017
   -0.262173   -0.229923   -0.114804    0.603888   -0.418803    0.678177
   -0.262173   -0.224576   -0.114804   -0.742918   -0.299324   -0.598730
   -0.262173   -0.219229   -0.114804   -0.785464   -0.454845   -0.419717
   -0.262173   -0.213882   -0.114804   -0.906855   -0.178547   -0.381754
   -0.262173   -0.208535   -0.114804   -0.747037   -0.605602   -0.274192
   -0.262173   -0.203188   -0.114804   -0.000039   -0.000057   -0.000009
   -0.262173   -0.197841   -0.114804   -0.000006   -0.000017    0.000005
   -0.262173   -0.192494   -0.114804    0.000009    0.000004    0.000011
   -0.262173   -0.187147   -0.114804    0.000023    0.000019    0.000018
   -0.262173   -0.181800   -0.114804    0.000046    0.000035    0.000029
   -0.262173   -0.176453   -0.114804    0.729496    0.519432    0.445001
   -0.262173   -0.171106   -0.114804    0.706070    0.578057    0.409042
   -0.262173   -0.165759   -0.114804    0.769934    0.605150    0.202470
   -0.262173   -0.160412   -0.114804    0.601168    0.727030   -0.331701
   -0.262173   -0.155065   -0.114804   -0.511916   -0.560752   -0.650768
   -0.262173   -0.149717   -0.114804    0.161559   -0.973816    0.159939
   -0.262173   -0.144370   -0.114804   -0.616844   -0.627909    0.474588
   -0.262173   -0.139023   -0.114804    0.235414   -0.951920    0.196032
   -0.262173   -0.133676   -0.114804    0.235838   -0.864417    0.444030
   -0.262173   -0.128329   -0.114804   -0.064704   -0.916894    0.393851
   -0.262173   -0.122982   -0.114804   -0.153916   -0.956789    0.246706
   -0.262173   -0.117635   -0.114804   -0.158590   -0.956301    0.245638
   -0.262173   -0.112288   -0.114804   -0.157684   -0.936315    0.313768
   -0.262173   -0.106941   -0.114804   -0.151112   -0.889620    0.430976
   -0.262173   -0.101594   -0.114804   -0.123899   -0.778931    0.614748
   -0.262173   -0.096247   -0.114804   -0.039588   -0.485711    0.873223
   -0.262173   -0.090900   -0.114804    0.123421    0.112942    0.985906
   -0.262173   -0.085553   -0.114804    0.227183    0.593844    0.771840
   -0.262173   -0.080206   -0.114804    0.176984    0.753626    0.633028
   -0.262173   -0.074859   -0.114804    0.062283    0.445165    0.893280
   -0.262173   -0.069512   -0.114804    0.108886   -0.011045    0.993993
   -0.262173   -0.064165   -0.114804   -0.463415   -0.110398    0.879238
   -0.262173   -0.058818   -0.114804   -0.449401   -0.099443    0.887778
   -0.262173   -0.053471   -0.114804   -0.322144    0.058345    0.944891
   -0.262173   -0.048123   -0.114804   -0.326000    0.163352    0.931150
   -0.262173   -0.042776   -0.114804   -0.477593    0.054811    0.876870
   -0.262173   -0.037429   -0.114804   -0.000052   -0.000016    0.000064
   -0.262173   -0.032082   -0.114804   -0.000043   -0.000027    0.000047
   -0.262173   -0.026735   -0.114804   -0.000034   -0.000032    0.000040
   -0.262173   -0.021388   -0.114804   -0.000024   -0.000032    0.000032
   -0.262173   -0.016041   -0.114804   -0.000009   -0.000028    0.000021
   -0.262173   -0.010694   -0.114804    0.000022   -0.000017    0.000004
   -0.262173   -0.005347   -0.114804    0.992853    0.110930   -0.044027
   -0.262173    0.000000   -0.114804    0.460681   -0.003198    0.887560
   -0.262173    0.005347   -0.114804    0.864343    0.226295   -0.449112
   -0.262173    0.010694   -0.114804    0.607477    0.399736   -0.686427
   -0.262173    0.016041   -0.114804    0.397368    0.510488   -0.762562
   -0.262173    0.021388   -0.114804    0.319478    0.575137   -0.753094
   -0.262173    0.026735   -0.114804    0.299403    0.620449   -0.724845
   -0.262173    0.032082   -0.114804    0.297709    0.647693   -0.701330
   -0.262173    0.037429   -0.114804    0.297435    0.646569   -0.702482
   -0.262173    0.042776   -0.114804    0.291997    0.597627   -0.746713
   -0.262173    0.048123   -0.114804    0.274535    0.481101   -0.832570
   -0.262173    0.053471   -0.114804    0.238465    0.308757   -0.920762
   -0.262173    0.058818   -0.114804    0.219874    0.154265   -0.963254
   -0.262173    0.064165   -0.114804    0.133764    0.198119   -0.971008
   -0.262173    0.069512   -0.114804   -0.173302    0.153929   -0.972765
   -0.262173    0.074859   -0.114804    0.021007    0.537306   -0.843126
   -0.262173    0.080206   -0.114804   -0.020259    0.628844   -0.777267
   -0.262173    0.085553   -0.114804   -0.130018    0.449884   -0.883572
   -0.262173    0.090900   -0.114804   -0.255579   -0.088481   -0.962731
   -0.262173    0.096247   -0.114804   -0.278918   -0.645910   -0.710637
   -0.262173    0.101594   -0.114804   -0.232970   -0.855706   -0.462052
   -0.262173    0.106941   -0.114804   -0.193572   -0.925804   -0.324678
   -0.262173    0.112288   -0.114804   -0.173172   -0.954193   -0.243981
   -0.262173    0.117635   -0.114804   -0.181674   -0.964526   -0.191531
   -0.262173    0.122982   -0.114804   -0.240909   -0.950783   -0.194869
   -0.262173    0.128329   -0.114804   -0.317359   -0.844969   -0.430476
   -0.262173    0.133676   -0.114804   -0.136500   -0.760248   -0.635131
   -0.262173    0.139023   -0.114804    0.117657   -0.986208    0.116405
   -0.262173    0.144370   -0.114804   -0.518978   -0.094400   -0.849559
   -0.262173    0.149717   -0.114804    0.038025   -0.972771    0.228626
   -0.262173    0.155065   -0.114804   -0.279561   -0.960035   -0.013345
   -0.262173    0.160412   -0.114804    0.427084    0.760199    0.489589
   -0.262173    0.165759   -0.114804    0.464003    0.866940    0.181980
   -0.262173    0.171106   -0.114804    0.000040    0.000020   -0.000069
   -0.262173    0.176453   -0.114804    0.000006   -0.000055   -0.000048
   -0.262173    0.181800   -0.114804   -0.000005   -0.000046   -0.000030
   -0.262173    0.187147   -0.114804   -0.000009   -0.000030   -0.000022
   -0.262173    0.192494   -0.114804   -0.000010   -0.000012   -0.000018
   -0.262173    0.197841   -0.114804   -0.000010    0.000011   -0.000016
   -0.262173    0.203188   -0.114804   -0.000007    0.000054   -0.000014
   -0.262173    0.208535   -0.114804    0.140279    0.990112    0.000147
   -0.262173    0.213882   -0.114804    0.765994    0.517206    0.381775
   -0.262173    0.219229   -0.114804    0.205767    0.978484   -0.015127
   -0.262173    0.224576   -0.114804   -0.428818    0.523259   -0.736420
   -0.262173    0.229923   -0.114804    0.504680    0.375646    0.777296
   -0.262173    0.235270   -0.114804    0.063448   -0.058742    0.996255
   -0.262173    0.240617   -0.114804    0.480327   -0.831810    0.278171
   -0.262173    0.245964   -0.114804    0.402524   -0.903075    0.149766
   -0.262173    0.251311   -0.114804    0.426904   -0.887803    0.171928
   -0.262173    0.256659   -0.114804    0.475024   -0.847224    0.237832
   -0.262173    0.262006   -0.114804    0.372589    0.869406   -0.324517
   -0.262173    0.267353   -0.114804    0.347516   -0.912968   -0.213828
   -0.262173    0.272700   -0.114804    0.464055   -0.883641    0.061900
   -0.262173    0.278047   -0.114804    0.495235   -0.860724    0.117881
   -0.262173    0.283394   -0.114804    0.512982   -0.846731    0.141052
   -0.262173    0.288741   -0.114804    0.526405   -0.836408    0.152706
   -0.262173    0.294088   -0.114804    0.537510   -0.829795    0.150078
   -0.262173    0.299435   -0.114804    0.545989   -0.827063    0.133653
   -0.262173    0.304782   -0.114804    0.553489   -0.824700    0.116270
   -0.262173    0.310129   -0.114804    0.561626   -0.820818    0.104088
   -0.262173    0.315476   -0.114804    0.570601   -0.815567    0.096255
   -0.262173    0.320823   -0.114804    0.580138   -0.809405    0.091130
   -0.262173    0.326170   -0.114804    0.589967   -0.802649    0.087715
   -0.262173    0.331517   -0.114804    0.960897    0.000000    0.276907
  
   -0.257803   -0.331517   -0.112891    0.949433    0.000000    0.313968
   -0.257803   -0.326170   -0.112891   -0.621620    0.769241   -0.147837
   -0.257803   -0.320823   -0.112891   -0.630665    0.761499   -0.149600
   -0.257803   -0.315476   -0.112891   -0.638746    0.754101   -0.152760
   -0.257803   -0.310129   -0.112891   -0.645328    0.747301   -0.158404
   -0.257803   -0.304782   -0.112891   -0.649595    0.741365   -0.168535
   -0.257803   -0.299435   -0.112891   -0.650867    0.736368   -0.184753
   -0.257803   -0.294088   -0.112891   -0.650178    0.732237   -0.202725
   -0.257803   -0.288741   -0.112891   -0.649397    0.729752   -0.213882
