# local minimal position and the related energy gap
#        kx            ky            kz           gap             E            k1            k2            k3
    0.27613777    0.00002581   -0.06864004    0.00000002    6.18141790    0.50964474    0.00003893   -0.40464319
    0.28907239    0.00016663   -0.06569500    0.00000002    6.20162236    0.53351710    0.00025132   -0.41044725
   -0.22438377    0.00047347    0.19410728    0.00000002    6.12134825   -0.41412663    0.00071410    0.62409462
    0.20748845   -0.00038179   -0.22713288    0.00000002    5.99369077    0.38294434   -0.00057583   -0.67879975
    0.19705686   -0.00027840    0.21556421    0.00000002    5.90589643    0.36369161   -0.00041989    0.27595458
   -0.27243641    0.00000126    0.06911807    0.00000002    6.17282195   -0.50281343    0.00000191    0.40220377
   -0.23620023   -0.16350397    0.10887748    0.00000004    5.74396001   -0.43593531   -0.24659949    0.45320430
   -0.28146308   -0.17897545    0.08212498    0.00000002    5.54374743   -0.51947323   -0.26993384    0.43840667
   -0.21744487   -0.12581388    0.12578740    0.00000004    5.83339305   -0.40132009   -0.18975464    0.47176943
   -0.20470625   -0.06668994    0.12972180    0.00000004    5.95931179   -0.37780947   -0.10058291    0.46826052
   -0.21441169    0.00001726    0.06739752    0.00000002    5.96502535   -0.39572199    0.00002603    0.34429219
   -0.24092048    0.00035894    0.17249247    0.00000002    6.19495763   -0.44464708    0.00054136    0.59341231
   -0.21167578    0.00041417    0.21799709    0.00000002    6.02824889   -0.39067255    0.00062466    0.66321215
   -0.22460368    0.00047373    0.19374369    0.00000002    6.12274179   -0.41453250    0.00071449    0.62352403
   -0.20159831    0.00032804   -0.22733465    0.00000002    5.94388873   -0.37207339    0.00049476   -0.29683522
   -0.18902660    0.00015691   -0.19212416    0.00000001    5.84385368   -0.34887083    0.00023666   -0.23342458
   -0.19995923    0.00031112   -0.22319011    0.00000002    5.93005964   -0.36904828    0.00046923   -0.28952020
   -0.21418639    0.00001649    0.06733292    0.00000003    5.96414575   -0.39530618    0.00002487    0.34394369
